                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.02867,                0.58333,                      1,                 1.1562,              0.0002192,              0.0002192,              0.0002192
                    108,                0.01572,                0.49167,                      1,                 1.2108,             0.00021449,             0.00021449,             0.00021449
                    109,                0.01362,                0.56667,                      1,                 1.1227,             0.00020977,             0.00020977,             0.00020977
                    110,                0.03896,                  0.575,                      1,                 1.1404,             0.00020506,             0.00020506,             0.00020506
                    111,                0.01405,                   0.55,                      1,                 1.1475,             0.00020035,             0.00020035,             0.00020035
                    112,                0.01881,                0.53333,                      1,                 1.1354,             0.00019564,             0.00019564,             0.00019564
                    113,                0.04414,                  0.525,                      1,                 1.1421,             0.00019092,             0.00019092,             0.00019092
                    114,                0.01613,                0.56667,                      1,                 1.1431,             0.00018621,             0.00018621,             0.00018621
                    115,                0.03372,                0.58333,                      1,                 1.1289,              0.0001815,              0.0001815,              0.0001815
                    116,                0.02969,                0.64167,                      1,                 1.0866,             0.00017679,             0.00017679,             0.00017679
                    117,                0.02174,                0.65833,                      1,                 1.0918,             0.00017207,             0.00017207,             0.00017207
                    118,                0.02018,                0.63333,                      1,                 1.1263,             0.00016736,             0.00016736,             0.00016736
                    119,                0.00377,                0.61667,                      1,                 1.0975,             0.00016265,             0.00016265,             0.00016265
                    120,                 0.0063,                0.64167,                      1,                 1.0721,             0.00015794,             0.00015794,             0.00015794
                    121,                0.01483,                  0.625,                      1,                 1.1264,             0.00015322,             0.00015322,             0.00015322
                    122,                0.00832,                    0.6,                      1,                 1.1161,             0.00014851,             0.00014851,             0.00014851
                    123,                0.00821,                0.58333,                      1,                 1.1251,              0.0001438,              0.0001438,              0.0001438
                    124,                0.02361,                0.59167,                      1,                 1.1221,             0.00013909,             0.00013909,             0.00013909
                    125,                0.01397,                0.61667,                      1,                 1.1041,             0.00013437,             0.00013437,             0.00013437
                    126,                 0.0169,                  0.625,                      1,                 1.1036,             0.00012966,             0.00012966,             0.00012966
                    127,                0.00958,                  0.625,                      1,                 1.0874,             0.00012495,             0.00012495,             0.00012495
                    128,                0.01695,                0.61667,                      1,                 1.1097,             0.00012024,             0.00012024,             0.00012024
                    129,                 0.0043,                0.64167,                      1,                 1.0845,             0.00011553,             0.00011553,             0.00011553
                    130,                0.01506,                0.63333,                      1,                 1.1027,             0.00011081,             0.00011081,             0.00011081
                    131,                0.01564,                  0.625,                      1,                 1.0957,              0.0001061,              0.0001061,              0.0001061
