                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.07328,                  0.475,                      1,                  1.238,             0.00044539,             0.00044539,             0.00044539
                     98,                 0.0455,                  0.575,                      1,                 1.1724,             0.00044257,             0.00044257,             0.00044257
                     99,                0.04816,                   0.55,                      1,                 1.1639,             0.00043974,             0.00043974,             0.00043974
                    100,                0.06165,                    0.6,                      1,                 1.1314,             0.00043691,             0.00043691,             0.00043691
                    101,                0.07289,                   0.55,                      1,                 1.1429,             0.00043408,             0.00043408,             0.00043408
                    102,                0.06212,                   0.65,                      1,                 1.0809,             0.00043126,             0.00043126,             0.00043126
                    103,                0.05838,                0.60833,                      1,                 1.1155,             0.00042843,             0.00042843,             0.00042843
                    104,                  0.063,                  0.575,                      1,                 1.1628,              0.0004256,              0.0004256,              0.0004256
                    105,                0.04712,                   0.55,                      1,                 1.1763,             0.00042277,             0.00042277,             0.00042277
                    106,                0.05822,                0.54167,                      1,                 1.1625,             0.00041995,             0.00041995,             0.00041995
                    107,                 0.0597,                0.56667,                      1,                 1.1704,             0.00041712,             0.00041712,             0.00041712
                    108,                0.05593,                0.60833,                      1,                 1.1128,             0.00041429,             0.00041429,             0.00041429
                    109,                0.05152,                   0.65,                      1,                 1.1212,             0.00041146,             0.00041146,             0.00041146
                    110,                0.07251,                0.59167,                      1,                  1.126,             0.00040864,             0.00040864,             0.00040864
                    111,                0.07713,                  0.625,                      1,                 1.1077,             0.00040581,             0.00040581,             0.00040581
                    112,                 0.0455,                0.61667,                      1,                 1.0833,             0.00040298,             0.00040298,             0.00040298
                    113,                0.04208,                0.60833,                      1,                  1.105,             0.00040015,             0.00040015,             0.00040015
                    114,                 0.0322,                0.69167,                      1,                 1.1003,             0.00039733,             0.00039733,             0.00039733
                    115,                0.04953,                0.58333,                      1,                 1.1541,              0.0003945,              0.0003945,              0.0003945
                    116,                0.04509,                0.59167,                      1,                 1.1158,             0.00039167,             0.00039167,             0.00039167
                    117,                0.03262,                    0.6,                      1,                 1.1041,             0.00038884,             0.00038884,             0.00038884
                    118,                 0.0642,                  0.575,                      1,                 1.1709,             0.00038602,             0.00038602,             0.00038602
                    119,                0.05907,                0.54167,                      1,                 1.1785,             0.00038319,             0.00038319,             0.00038319
                    120,                 0.0821,                0.59167,                      1,                 1.1595,             0.00038036,             0.00038036,             0.00038036
                    121,                0.06178,                0.64167,                      1,                 1.1269,             0.00037753,             0.00037753,             0.00037753
                    122,                0.08716,                  0.525,                      1,                 1.2199,             0.00037471,             0.00037471,             0.00037471
                    123,                0.04818,                0.51667,                      1,                 1.1807,             0.00037188,             0.00037188,             0.00037188
                    124,                0.01651,                0.59167,                      1,                 1.1335,             0.00036905,             0.00036905,             0.00036905
                    125,                0.02566,                  0.575,                      1,                 1.1546,             0.00036622,             0.00036622,             0.00036622
                    126,                 0.0799,                0.58333,                      1,                 1.1326,              0.0003634,              0.0003634,              0.0003634
                    127,                 0.0356,                  0.525,                      1,                 1.1925,             0.00036057,             0.00036057,             0.00036057
                    128,                0.05978,                0.55833,                      1,                 1.1536,             0.00035774,             0.00035774,             0.00035774
                    129,                0.02839,                   0.55,                      1,                 1.1898,             0.00035492,             0.00035492,             0.00035492
                    130,                0.03534,                0.59167,                      1,                 1.1304,             0.00035209,             0.00035209,             0.00035209
                    131,                0.02747,                  0.625,                      1,                 1.1128,             0.00034926,             0.00034926,             0.00034926
                    132,                0.01282,                  0.625,                      1,                  1.126,             0.00034643,             0.00034643,             0.00034643
                    133,                0.04295,                    0.6,                      1,                 1.1355,             0.00034361,             0.00034361,             0.00034361
                    134,                0.02822,                0.63333,                      1,                 1.1128,             0.00034078,             0.00034078,             0.00034078
                    135,                 0.0322,                0.59167,                      1,                 1.1486,             0.00033795,             0.00033795,             0.00033795
